date,year,month,month_name,day,weekday,weekday_name,is_weekday,total_traffic_volume,avg_traffic_volume,min_traffic_volume,max_traffic_volume,record_count
2012-12-03,2012,12,Dec,3,0,Monday,1,115016,3286.17,234,6393,35
2012-12-04,2012,12,Dec,4,1,Tuesday,1,103001,3814.85,253,7051,27
2012-12-05,2012,12,Dec,5,2,Wednesday,1,87489,3803.87,264,6888,23
2012-12-06,2012,12,Dec,6,3,Thursday,1,90901,3787.54,273,6789,24
2012-12-07,2012,12,Dec,7,4,Friday,1,89706,3737.75,322,6082,24
2012-12-08,2012,12,Dec,8,5,Saturday,0,79458,3056.08,356,5327,26
2012-12-09,2012,12,Dec,9,6,Sunday,0,29008,1261.22,291,2483,23
2012-12-10,2012,12,Dec,10,0,Monday,1,195340,2915.52,216,4685,67
2012-12-11,2012,12,Dec,11,1,Tuesday,1,79143,3043.96,255,5325,26
2012-12-12,2012,12,Dec,12,2,Wednesday,1,94193,3248.03,245,6208,29
2012-12-13,2012,12,Dec,13,3,Thursday,1,87392,3495.68,268,6385,25
2012-12-14,2012,12,Dec,14,4,Friday,1,97124,3735.54,371,6507,26
2012-12-15,2012,12,Dec,15,5,Saturday,0,63738,2549.52,385,4347,25
2012-12-16,2012,12,Dec,16,6,Sunday,0,180334,2226.35,271,4130,81
2012-12-17,2012,12,Dec,17,0,Monday,1,83970,3110.0,250,6520,27
2012-12-18,2012,12,Dec,18,1,Tuesday,1,144722,4020.06,248,6656,36
2012-12-19,2012,12,Dec,19,2,Wednesday,1,154038,3500.86,278,6803,44
2012-12-20,2012,12,Dec,20,3,Thursday,1,98935,3533.39,281,6333,28
2012-12-21,2012,12,Dec,21,4,Friday,1,127626,3449.35,318,5999,37
2012-12-22,2012,12,Dec,22,5,Saturday,0,61985,2582.71,394,4678,24
2012-12-23,2012,12,Dec,23,6,Sunday,0,49031,2131.78,261,4039,23
2012-12-24,2012,12,Dec,24,0,Monday,1,54436,2268.17,250,4048,24
2012-12-25,2012,12,Dec,25,1,Tuesday,1,40082,1603.28,125,2944,25
2012-12-26,2012,12,Dec,26,2,Wednesday,1,70787,2949.46,252,5489,24
2012-12-27,2012,12,Dec,27,3,Thursday,1,75138,3130.75,301,5652,24
2012-12-28,2012,12,Dec,28,4,Friday,1,102880,3215.0,346,5441,32
2012-12-29,2012,12,Dec,29,5,Saturday,0,96681,2358.07,357,4732,41
2012-12-30,2012,12,Dec,30,6,Sunday,0,66016,2357.71,270,4644,28
2012-12-31,2012,12,Dec,31,0,Monday,1,75720,3028.8,295,4976,25
2013-01-01,2013,1,Jan,1,1,Tuesday,1,39817,1659.04,372,3121,24
2013-01-02,2013,1,Jan,2,2,Wednesday,1,90601,3355.59,243,5829,27
2013-01-03,2013,1,Jan,3,3,Thursday,1,148677,3539.93,276,6431,42
2013-01-04,2013,1,Jan,4,4,Friday,1,105487,3402.81,301,6380,31
2013-01-05,2013,1,Jan,5,5,Saturday,0,55251,2907.95,375,4406,19
2013-01-06,2013,1,Jan,6,6,Sunday,0,58381,2085.04,256,4074,28
2013-01-07,2013,1,Jan,7,0,Monday,1,80652,3360.5,248,6681,24
2013-01-08,2013,1,Jan,8,1,Tuesday,1,74018,3364.45,230,6771,22
2013-01-09,2013,1,Jan,9,2,Wednesday,1,74978,3748.9,271,6852,20
2013-01-10,2013,1,Jan,10,3,Thursday,1,24944,2771.56,314,5886,9
2013-01-11,2013,1,Jan,11,4,Friday,1,109877,3329.61,308,6029,33
2013-01-12,2013,1,Jan,12,5,Saturday,0,140880,2762.35,353,4557,51
2013-01-13,2013,1,Jan,13,6,Sunday,0,38604,1838.29,199,3907,21
2013-01-14,2013,1,Jan,14,0,Monday,1,110040,3668.0,222,6579,30
2013-01-15,2013,1,Jan,15,1,Tuesday,1,73719,3350.86,246,6493,22
2013-01-16,2013,1,Jan,16,2,Wednesday,1,84035,3819.77,249,6465,22
2013-01-17,2013,1,Jan,17,3,Thursday,1,99157,3813.73,279,6857,26
2013-01-18,2013,1,Jan,18,4,Friday,1,87969,3665.38,301,6514,24
2013-01-19,2013,1,Jan,19,5,Saturday,0,66082,2753.42,353,4973,24
2013-01-20,2013,1,Jan,20,6,Sunday,0,39631,2201.72,246,4028,18
2013-01-21,2013,1,Jan,21,0,Monday,1,57331,2730.05,270,4561,21
2013-01-22,2013,1,Jan,22,1,Tuesday,1,65215,3432.37,185,6331,19
2013-01-23,2013,1,Jan,23,2,Wednesday,1,83333,3787.86,248,6606,22
2013-01-24,2013,1,Jan,24,3,Thursday,1,82285,3740.23,254,6870,22
2013-01-25,2013,1,Jan,25,4,Friday,1,65526,3640.33,283,6593,18
2013-01-26,2013,1,Jan,26,5,Saturday,0,16041,2005.12,385,4947,8
2013-01-27,2013,1,Jan,27,6,Sunday,0,28477,1898.47,462,3813,15
2013-01-28,2013,1,Jan,28,0,Monday,1,60492,3360.67,261,5708,18
2013-01-29,2013,1,Jan,29,1,Tuesday,1,434,434.0,434,434,1
2013-01-30,2013,1,Jan,30,2,Wednesday,1,90004,3913.22,243,6945,23
2013-01-31,2013,1,Jan,31,3,Thursday,1,74542,3388.27,261,6485,22
2013-02-01,2013,2,Feb,1,4,Friday,1,85403,3558.46,291,6681,24
2013-02-02,2013,2,Feb,2,5,Saturday,0,67192,2799.67,354,4907,24
2013-02-03,2013,2,Feb,3,6,Sunday,0,49492,2151.83,255,4665,23
2013-02-04,2013,2,Feb,4,0,Monday,1,79753,3323.04,265,6316,24
2013-02-05,2013,2,Feb,5,1,Tuesday,1,76026,3455.73,243,6242,22
2013-02-06,2013,2,Feb,6,2,Wednesday,1,64135,3375.53,271,6531,19
2013-02-07,2013,2,Feb,7,3,Thursday,1,67814,3767.44,372,6497,18
2013-02-08,2013,2,Feb,8,4,Friday,1,100338,3459.93,324,6710,29
2013-02-09,2013,2,Feb,9,5,Saturday,0,58724,3090.74,426,4880,19
2013-02-10,2013,2,Feb,10,6,Sunday,0,34176,1485.91,299,2460,23
2013-02-11,2013,2,Feb,11,0,Monday,1,184535,3481.79,252,6202,53
2013-02-12,2013,2,Feb,12,1,Tuesday,1,81913,3276.52,289,6655,25
2013-02-13,2013,2,Feb,13,2,Wednesday,1,70715,3535.75,264,6759,20
2013-02-14,2013,2,Feb,14,3,Thursday,1,126711,3620.31,278,6943,35
2013-02-15,2013,2,Feb,15,4,Friday,1,78901,3156.04,349,6660,25
2013-02-16,2013,2,Feb,16,5,Saturday,0,67101,2917.43,341,4880,23
2013-02-17,2013,2,Feb,17,6,Sunday,0,67234,2585.92,268,4422,26
2013-02-18,2013,2,Feb,18,0,Monday,1,74809,3117.04,295,5512,24
2013-02-19,2013,2,Feb,19,1,Tuesday,1,74957,3569.38,235,6996,21
2013-02-20,2013,2,Feb,20,2,Wednesday,1,56808,3550.5,220,6723,16
2013-02-21,2013,2,Feb,21,3,Thursday,1,79255,3962.75,244,6986,20
2013-02-22,2013,2,Feb,22,4,Friday,1,73732,3072.17,309,5830,24
2013-02-23,2013,2,Feb,23,5,Saturday,0,90107,2310.44,367,4776,39
2013-02-24,2013,2,Feb,24,6,Sunday,0,60534,2087.38,252,4473,29
2013-02-25,2013,2,Feb,25,0,Monday,1,96105,3100.16,229,6920,31
2013-02-26,2013,2,Feb,26,1,Tuesday,1,103904,3710.86,229,6776,28
2013-02-27,2013,2,Feb,27,2,Wednesday,1,130942,3851.24,263,7067,34
2013-02-28,2013,2,Feb,28,3,Thursday,1,66710,3511.05,256,7029,19
2013-03-01,2013,3,Mar,1,4,Friday,1,90698,3943.39,345,6864,23
2013-03-02,2013,3,Mar,2,5,Saturday,0,69385,3016.74,371,5219,23
2013-03-03,2013,3,Mar,3,6,Sunday,0,56799,2581.77,277,4356,22
2013-03-04,2013,3,Mar,4,0,Monday,1,61653,3082.65,256,6235,20
2013-03-05,2013,3,Mar,5,1,Tuesday,1,67892,2514.52,289,4805,27
2013-03-06,2013,3,Mar,6,2,Wednesday,1,78973,3158.92,266,6720,25
2013-03-07,2013,3,Mar,7,3,Thursday,1,55751,3484.44,295,6920,16
2013-03-08,2013,3,Mar,8,4,Friday,1,98409,3514.61,352,6023,28
2013-03-09,2013,3,Mar,9,5,Saturday,0,52390,2619.5,389,4776,20
2013-03-10,2013,3,Mar,10,6,Sunday,0,101847,2263.27,380,4230,45
2013-03-11,2013,3,Mar,11,0,Monday,1,60972,2650.96,362,6607,23
2013-03-12,2013,3,Mar,12,1,Tuesday,1,49845,3834.23,258,6558,13
2013-03-13,2013,3,Mar,13,2,Wednesday,1,53298,3807.0,368,6850,14
2013-03-14,2013,3,Mar,14,3,Thursday,1,51700,3446.67,331,5718,15
2013-03-15,2013,3,Mar,15,4,Friday,1,58585,3661.56,356,6289,16
2013-03-16,2013,3,Mar,16,5,Saturday,0,97894,3263.13,369,5155,30
2013-03-17,2013,3,Mar,17,6,Sunday,0,31553,2253.79,308,4319,14
2013-03-18,2013,3,Mar,18,0,Monday,1,36201,2784.69,308,5339,13
2013-03-19,2013,3,Mar,19,1,Tuesday,1,120181,4292.18,317,6574,28
2013-03-20,2013,3,Mar,20,2,Wednesday,1,84165,3825.68,282,6761,22
2013-03-21,2013,3,Mar,21,3,Thursday,1,91696,3820.67,282,6847,24
2013-03-22,2013,3,Mar,22,4,Friday,1,93059,3877.46,360,6497,24
2013-03-23,2013,3,Mar,23,5,Saturday,0,74477,3103.21,394,6264,24
2013-03-24,2013,3,Mar,24,6,Sunday,0,59275,2469.79,277,4652,24
2013-03-25,2013,3,Mar,25,0,Monday,1,94098,3619.15,298,6581,26
2013-03-26,2013,3,Mar,26,1,Tuesday,1,84117,3504.88,221,6784,24
2013-03-27,2013,3,Mar,27,2,Wednesday,1,84465,3672.39,264,6743,23
2013-03-28,2013,3,Mar,28,3,Thursday,1,88677,3694.88,296,6780,24
2013-03-29,2013,3,Mar,29,4,Friday,1,87371,3640.46,304,5998,24
2013-03-30,2013,3,Mar,30,5,Saturday,0,64400,2683.33,339,4502,24
2013-03-31,2013,3,Mar,31,6,Sunday,0,72590,1961.89,245,4246,37
2013-04-01,2013,4,Apr,1,0,Monday,1,72290,3442.38,248,6597,21
2013-04-02,2013,4,Apr,2,1,Tuesday,1,88319,3679.96,267,7009,24
2013-04-03,2013,4,Apr,3,2,Wednesday,1,91300,3804.17,268,6637,24
2013-04-04,2013,4,Apr,4,3,Thursday,1,89685,3899.35,275,6841,23
2013-04-05,2013,4,Apr,5,4,Friday,1,86980,3781.74,310,6756,23
2013-04-06,2013,4,Apr,6,5,Saturday,0,104007,3250.22,349,5007,32
2013-04-07,2013,4,Apr,7,6,Sunday,0,87275,2727.34,284,4342,32
2013-04-08,2013,4,Apr,8,0,Monday,1,92919,3204.1,262,6971,29
2013-04-09,2013,4,Apr,9,1,Tuesday,1,140982,3204.14,268,7110,44
2013-04-10,2013,4,Apr,10,2,Wednesday,1,111378,3592.84,227,6812,31
2013-04-11,2013,4,Apr,11,3,Thursday,1,77408,2419.0,238,5668,32
2013-04-12,2013,4,Apr,12,4,Friday,1,222995,4288.37,309,6595,52
2013-04-13,2013,4,Apr,13,5,Saturday,0,100250,2506.25,351,5311,40
2013-04-14,2013,4,Apr,14,6,Sunday,0,54096,1803.2,253,3946,30
2013-04-15,2013,4,Apr,15,0,Monday,1,150100,4056.76,233,7082,37
2013-04-16,2013,4,Apr,16,1,Tuesday,1,89497,3729.04,234,7016,24
2013-04-17,2013,4,Apr,17,2,Wednesday,1,84242,3662.7,239,7039,23
2013-04-18,2013,4,Apr,18,3,Thursday,1,103497,2464.21,264,7150,42
2013-04-19,2013,4,Apr,19,4,Friday,1,210619,3510.32,261,6160,60
2013-04-20,2013,4,Apr,20,5,Saturday,0,91162,2604.63,390,5053,35
2013-04-21,2013,4,Apr,21,6,Sunday,0,58420,2434.17,273,4542,24
2013-04-22,2013,4,Apr,22,0,Monday,1,115291,3202.53,278,7062,36
2013-04-23,2013,4,Apr,23,1,Tuesday,1,174173,3786.37,240,6519,46
2013-04-24,2013,4,Apr,24,2,Wednesday,1,85793,3064.04,276,6725,28
2013-04-25,2013,4,Apr,25,3,Thursday,1,105507,4057.96,276,6813,26
2013-04-26,2013,4,Apr,26,4,Friday,1,94131,3922.12,296,7009,24
2013-04-27,2013,4,Apr,27,5,Saturday,0,74851,2994.04,371,5426,25
2013-04-28,2013,4,Apr,28,6,Sunday,0,63595,2649.79,284,5034,24
2013-04-29,2013,4,Apr,29,0,Monday,1,87105,3629.38,267,6851,24
2013-04-30,2013,4,Apr,30,1,Tuesday,1,90075,3753.12,275,7217,24
2013-05-01,2013,5,May,1,2,Wednesday,1,85211,3704.83,283,6421,23
2013-05-02,2013,5,May,2,3,Thursday,1,179872,4387.12,268,6818,41
2013-05-03,2013,5,May,3,4,Friday,1,92250,3690.0,337,6478,25
2013-05-04,2013,5,May,4,5,Saturday,0,176130,3594.49,361,4991,49
2013-05-05,2013,5,May,5,6,Sunday,0,63804,2552.16,314,5734,25
2013-05-06,2013,5,May,6,0,Monday,1,86682,3611.75,284,6970,24
2013-05-07,2013,5,May,7,1,Tuesday,1,92101,3837.54,259,6763,24
2013-05-08,2013,5,May,8,2,Wednesday,1,90104,3754.33,298,6888,24
2013-05-09,2013,5,May,9,3,Thursday,1,128416,3776.94,262,6800,34
2013-05-10,2013,5,May,10,4,Friday,1,99776,3837.54,292,6802,26
2013-05-11,2013,5,May,11,5,Saturday,0,52496,2187.33,304,3793,24
2013-05-12,2013,5,May,12,6,Sunday,0,46110,1844.4,226,3311,25
2013-05-13,2013,5,May,13,0,Monday,1,86515,3604.79,227,6969,24
2013-05-14,2013,5,May,14,1,Tuesday,1,91484,3811.83,238,6653,24
2013-05-15,2013,5,May,15,2,Wednesday,1,92334,3847.25,261,6624,24
2013-05-16,2013,5,May,16,3,Thursday,1,92107,3837.79,277,6642,24
2013-05-17,2013,5,May,17,4,Friday,1,86036,3740.7,311,6778,23
2013-05-18,2013,5,May,18,5,Saturday,0,112122,3297.71,352,4935,34
2013-05-19,2013,5,May,19,6,Sunday,0,120080,2309.23,318,4679,52
2013-05-20,2013,5,May,20,0,Monday,1,180976,4208.74,325,6369,43
2013-05-21,2013,5,May,21,1,Tuesday,1,138453,3550.08,258,6768,39
2013-05-22,2013,5,May,22,2,Wednesday,1,167875,3571.81,228,6880,47
2013-05-23,2013,5,May,23,3,Thursday,1,152199,3902.54,280,6717,39
2013-05-24,2013,5,May,24,4,Friday,1,86506,3604.42,325,6372,24
2013-05-25,2013,5,May,25,5,Saturday,0,66775,2473.15,323,4537,27
2013-05-26,2013,5,May,26,6,Sunday,0,51576,1983.69,255,3637,26
2013-05-27,2013,5,May,27,0,Monday,1,47207,1966.96,264,3812,24
2013-05-28,2013,5,May,28,1,Tuesday,1,91766,3398.74,268,6658,27
2013-05-29,2013,5,May,29,2,Wednesday,1,121082,4175.24,243,7068,29
2013-05-30,2013,5,May,30,3,Thursday,1,114183,3806.1,250,6778,30
2013-05-31,2013,5,May,31,4,Friday,1,110005,3055.69,339,6653,36
2013-06-01,2013,6,Jun,1,5,Saturday,0,72545,2590.89,421,4975,28
2013-06-02,2013,6,Jun,2,6,Sunday,0,72473,2787.42,355,4702,26
2013-06-03,2013,6,Jun,3,0,Monday,1,86735,3613.96,319,6746,24
2013-06-04,2013,6,Jun,4,1,Tuesday,1,88972,3707.17,256,6852,24
2013-06-05,2013,6,Jun,5,2,Wednesday,1,110133,3671.1,249,6762,30
2013-06-06,2013,6,Jun,6,3,Thursday,1,195410,4071.04,281,6744,48
2013-06-07,2013,6,Jun,7,4,Friday,1,121360,4045.33,321,6787,30
2013-06-08,2013,6,Jun,8,5,Saturday,0,67975,2832.29,414,4535,24
2013-06-09,2013,6,Jun,9,6,Sunday,0,61029,2441.16,481,4300,25
2013-06-10,2013,6,Jun,10,0,Monday,1,147542,4215.49,292,6873,35
2013-06-11,2013,6,Jun,11,1,Tuesday,1,111220,3587.74,284,6738,31
2013-06-12,2013,6,Jun,12,2,Wednesday,1,103535,3697.68,266,6759,28
2013-06-13,2013,6,Jun,13,3,Thursday,1,139085,3660.13,328,6535,38
2013-06-14,2013,6,Jun,14,4,Friday,1,92567,3856.96,382,6651,24
2013-06-15,2013,6,Jun,15,5,Saturday,0,66871,2786.29,389,4761,24
2013-06-16,2013,6,Jun,16,6,Sunday,0,81991,2827.28,335,4472,29
2013-06-17,2013,6,Jun,17,0,Monday,1,90719,3489.19,298,6520,26
2013-06-18,2013,6,Jun,18,1,Tuesday,1,92900,3870.83,314,6910,24
2013-06-19,2013,6,Jun,19,2,Wednesday,1,38153,3179.42,276,6708,12
2013-06-20,2013,6,Jun,20,3,Thursday,1,43868,4386.8,880,6065,10
2013-06-21,2013,6,Jun,21,4,Friday,1,14531,1816.38,324,6138,8
2013-06-22,2013,6,Jun,22,5,Saturday,0,22423,1121.15,380,3753,20
2013-06-23,2013,6,Jun,23,6,Sunday,0,38638,1839.9,635,4603,21
2013-06-24,2013,6,Jun,24,0,Monday,1,108784,4029.04,324,6366,27
2013-06-25,2013,6,Jun,25,1,Tuesday,1,104500,4019.23,278,6724,26
2013-06-26,2013,6,Jun,26,2,Wednesday,1,92408,3850.33,308,6605,24
2013-06-27,2013,6,Jun,27,3,Thursday,1,94136,3922.33,336,6337,24
2013-06-28,2013,6,Jun,28,4,Friday,1,88023,3827.09,370,6507,23
2013-06-29,2013,6,Jun,29,5,Saturday,0,71112,2963.0,410,5234,24
2013-06-30,2013,6,Jun,30,6,Sunday,0,66937,2231.23,354,4452,30
2013-07-01,2013,7,Jul,1,0,Monday,1,87714,3654.75,341,6783,24
2013-07-02,2013,7,Jul,2,1,Tuesday,1,91166,3798.58,333,6759,24
2013-07-03,2013,7,Jul,3,2,Wednesday,1,85164,3702.78,364,6321,23
2013-07-04,2013,7,Jul,4,3,Thursday,1,50356,2098.17,333,3526,24
2013-07-05,2013,7,Jul,5,4,Friday,1,69150,3006.52,334,4879,23
2013-07-06,2013,7,Jul,6,5,Saturday,0,55512,2413.57,366,3957,23
2013-07-07,2013,7,Jul,7,6,Sunday,0,59882,2495.08,359,4379,24
2013-07-08,2013,7,Jul,8,0,Monday,1,89697,3587.88,306,6773,25
2013-07-09,2013,7,Jul,9,1,Tuesday,1,104576,3873.19,308,6680,27
2013-07-10,2013,7,Jul,10,2,Wednesday,1,110185,4080.93,345,6777,27
2013-07-11,2013,7,Jul,11,3,Thursday,1,87530,3805.65,316,6508,23
2013-07-12,2013,7,Jul,12,4,Friday,1,89661,3898.3,384,6613,23
2013-07-13,2013,7,Jul,13,5,Saturday,0,67032,2793.0,395,4752,24
2013-07-14,2013,7,Jul,14,6,Sunday,0,77449,2277.91,381,4438,34
2013-07-15,2013,7,Jul,15,0,Monday,1,45425,3028.33,293,6388,15
2013-07-16,2013,7,Jul,16,1,Tuesday,1,79930,3806.19,277,6550,21
2013-07-17,2013,7,Jul,17,2,Wednesday,1,84570,3844.09,284,6659,22
2013-07-18,2013,7,Jul,18,3,Thursday,1,84425,3837.5,314,6477,22
2013-07-19,2013,7,Jul,19,4,Friday,1,94970,4129.13,404,6525,23
2013-07-20,2013,7,Jul,20,5,Saturday,0,69781,3033.96,426,5077,23
2013-07-21,2013,7,Jul,21,6,Sunday,0,61746,2469.84,329,4505,25
2013-07-22,2013,7,Jul,22,0,Monday,1,113865,4066.61,291,6403,28
2013-07-23,2013,7,Jul,23,1,Tuesday,1,84405,3669.78,274,6266,23
2013-07-24,2013,7,Jul,24,2,Wednesday,1,84087,4004.14,314,6566,21
2013-07-25,2013,7,Jul,25,3,Thursday,1,92818,3867.42,310,6423,24
2013-07-26,2013,7,Jul,26,4,Friday,1,81614,3548.43,332,6509,23
2013-07-27,2013,7,Jul,27,5,Saturday,0,66757,2670.28,402,4591,25
2013-07-28,2013,7,Jul,28,6,Sunday,0,65820,2632.8,318,4706,25
2013-07-29,2013,7,Jul,29,0,Monday,1,82830,3601.3,324,6505,23
2013-07-30,2013,7,Jul,30,1,Tuesday,1,86739,3771.26,283,7070,23
2013-07-31,2013,7,Jul,31,2,Wednesday,1,136151,4004.44,287,6866,34
2013-08-01,2013,8,Aug,1,3,Thursday,1,118021,3934.03,344,6440,30
2013-08-02,2013,8,Aug,2,4,Friday,1,95841,3993.38,390,6342,24
2013-08-03,2013,8,Aug,3,5,Saturday,0,63069,2866.77,406,4677,22
2013-08-04,2013,8,Aug,4,6,Sunday,0,61328,2555.33,337,4572,24
2013-08-05,2013,8,Aug,5,0,Monday,1,86110,3743.91,321,6597,23
2013-08-06,2013,8,Aug,6,1,Tuesday,1,109600,3535.48,292,6791,31
2013-08-07,2013,8,Aug,7,2,Wednesday,1,69741,3487.05,315,6986,20
2013-08-08,2013,8,Aug,8,3,Thursday,1,91092,4140.55,300,6771,22
2013-08-09,2013,8,Aug,9,4,Friday,1,87970,3998.64,370,6474,22
2013-08-10,2013,8,Aug,10,5,Saturday,0,67978,3089.91,463,4721,22
2013-08-11,2013,8,Aug,11,6,Sunday,0,58849,2558.65,315,4591,23
2013-08-12,2013,8,Aug,12,0,Monday,1,89032,3709.67,296,6583,24
2013-08-13,2013,8,Aug,13,1,Tuesday,1,93151,3881.29,311,6720,24
2013-08-14,2013,8,Aug,14,2,Wednesday,1,70796,3726.11,271,6599,19
2013-08-15,2013,8,Aug,15,3,Thursday,1,56210,3513.12,334,6630,16
2013-08-16,2013,8,Aug,16,4,Friday,1,84003,4200.15,381,6585,20
2013-08-17,2013,8,Aug,17,5,Saturday,0,69471,2894.62,397,4728,24
2013-08-18,2013,8,Aug,18,6,Sunday,0,62237,2705.96,301,4601,23
2013-08-19,2013,8,Aug,19,0,Monday,1,88257,3677.38,307,6655,24
2013-08-20,2013,8,Aug,20,1,Tuesday,1,91782,3824.25,294,6865,24
2013-08-21,2013,8,Aug,21,2,Wednesday,1,88297,3839.0,330,6714,23
2013-08-22,2013,8,Aug,22,3,Thursday,1,92767,3865.29,302,6823,24
2013-08-23,2013,8,Aug,23,4,Friday,1,93126,4048.96,369,6693,23
2013-08-24,2013,8,Aug,24,5,Saturday,0,42727,3051.93,422,5154,14
2013-08-25,2013,8,Aug,25,6,Sunday,0,64979,2953.59,377,4851,22
2013-08-26,2013,8,Aug,26,0,Monday,1,84043,3820.14,328,6512,22
2013-08-27,2013,8,Aug,27,1,Tuesday,1,18972,3162.0,620,6653,6
2013-08-28,2013,8,Aug,28,2,Wednesday,1,38545,3212.08,318,6760,12
