date,year,quarter,month,month_name,day,day_of_week,weekday_name,is_weekday,week_of_year
2013-02-18,2013,1,2,February,18,0,Monday,1,8
2013-02-19,2013,1,2,February,19,1,Tuesday,1,8
2013-02-20,2013,1,2,February,20,2,Wednesday,1,8
2013-02-21,2013,1,2,February,21,3,Thursday,1,8
2013-02-22,2013,1,2,February,22,4,Friday,1,8
2013-02-23,2013,1,2,February,23,5,Saturday,0,8
2013-02-24,2013,1,2,February,24,6,Sunday,0,8
2013-02-25,2013,1,2,February,25,0,Monday,1,9
2013-02-26,2013,1,2,February,26,1,Tuesday,1,9
2013-02-27,2013,1,2,February,27,2,Wednesday,1,9
2013-02-28,2013,1,2,February,28,3,Thursday,1,9
2013-03-01,2013,1,3,March,1,4,Friday,1,9
2013-03-02,2013,1,3,March,2,5,Saturday,0,9
2013-03-03,2013,1,3,March,3,6,Sunday,0,9
2013-03-04,2013,1,3,March,4,0,Monday,1,10
2013-03-05,2013,1,3,March,5,1,Tuesday,1,10
2013-03-06,2013,1,3,March,6,2,Wednesday,1,10
2013-03-07,2013,1,3,March,7,3,Thursday,1,10
2013-03-08,2013,1,3,March,8,4,Friday,1,10
2013-03-09,2013,1,3,March,9,5,Saturday,0,10
2013-03-10,2013,1,3,March,10,6,Sunday,0,10
2013-03-11,2013,1,3,March,11,0,Monday,1,11
2013-03-12,2013,1,3,March,12,1,Tuesday,1,11
2013-03-13,2013,1,3,March,13,2,Wednesday,1,11
2013-03-14,2013,1,3,March,14,3,Thursday,1,11
2013-03-15,2013,1,3,March,15,4,Friday,1,11
2013-03-16,2013,1,3,March,16,5,Saturday,0,11
2013-03-17,2013,1,3,March,17,6,Sunday,0,11
2013-03-18,2013,1,3,March,18,0,Monday,1,12
2013-03-19,2013,1,3,March,19,1,Tuesday,1,12
2013-03-20,2013,1,3,March,20,2,Wednesday,1,12
2013-03-21,2013,1,3,March,21,3,Thursday,1,12
2013-03-22,2013,1,3,March,22,4,Friday,1,12
2013-03-23,2013,1,3,March,23,5,Saturday,0,12
2013-03-24,2013,1,3,March,24,6,Sunday,0,12
2013-03-25,2013,1,3,March,25,0,Monday,1,13
2013-03-26,2013,1,3,March,26,1,Tuesday,1,13
2013-03-27,2013,1,3,March,27,2,Wednesday,1,13
2013-03-28,2013,1,3,March,28,3,Thursday,1,13
2013-03-29,2013,1,3,March,29,4,Friday,1,13
2013-03-30,2013,1,3,March,30,5,Saturday,0,13
2013-03-31,2013,1,3,March,31,6,Sunday,0,13
2013-04-01,2013,2,4,April,1,0,Monday,1,14
2013-04-02,2013,2,4,April,2,1,Tuesday,1,14
2013-04-03,2013,2,4,April,3,2,Wednesday,1,14
2013-04-04,2013,2,4,April,4,3,Thursday,1,14
2013-04-05,2013,2,4,April,5,4,Friday,1,14
2013-04-06,2013,2,4,April,6,5,Saturday,0,14
2013-04-07,2013,2,4,April,7,6,Sunday,0,14
2013-04-08,2013,2,4,April,8,0,Monday,1,15
2013-04-09,2013,2,4,April,9,1,Tuesday,1,15
2013-04-10,2013,2,4,April,10,2,Wednesday,1,15
2013-04-11,2013,2,4,April,11,3,Thursday,1,15
2013-04-12,2013,2,4,April,12,4,Friday,1,15
2013-04-13,2013,2,4,April,13,5,Saturday,0,15
2013-04-14,2013,2,4,April,14,6,Sunday,0,15
2013-04-15,2013,2,4,April,15,0,Monday,1,16
2013-04-16,2013,2,4,April,16,1,Tuesday,1,16
2013-04-17,2013,2,4,April,17,2,Wednesday,1,16
2013-04-18,2013,2,4,April,18,3,Thursday,1,16
2013-04-19,2013,2,4,April,19,4,Friday,1,16
2013-04-20,2013,2,4,April,20,5,Saturday,0,16
2013-04-21,2013,2,4,April,21,6,Sunday,0,16
2013-04-22,2013,2,4,April,22,0,Monday,1,17
2013-04-23,2013,2,4,April,23,1,Tuesday,1,17
2013-04-24,2013,2,4,April,24,2,Wednesday,1,17
2013-04-25,2013,2,4,April,25,3,Thursday,1,17
2013-04-26,2013,2,4,April,26,4,Friday,1,17
2013-04-27,2013,2,4,April,27,5,Saturday,0,17
2013-04-28,2013,2,4,April,28,6,Sunday,0,17
2013-04-29,2013,2,4,April,29,0,Monday,1,18
2013-04-30,2013,2,4,April,30,1,Tuesday,1,18
2013-05-01,2013,2,5,May,1,2,Wednesday,1,18
2013-05-02,2013,2,5,May,2,3,Thursday,1,18
2013-05-03,2013,2,5,May,3,4,Friday,1,18
2013-05-04,2013,2,5,May,4,5,Saturday,0,18
2013-05-05,2013,2,5,May,5,6,Sunday,0,18
2013-05-06,2013,2,5,May,6,0,Monday,1,19
2013-05-07,2013,2,5,May,7,1,Tuesday,1,19
2013-05-08,2013,2,5,May,8,2,Wednesday,1,19
2013-05-09,2013,2,5,May,9,3,Thursday,1,19
2013-05-10,2013,2,5,May,10,4,Friday,1,19
2013-05-11,2013,2,5,May,11,5,Saturday,0,19
2013-05-12,2013,2,5,May,12,6,Sunday,0,19
2013-05-13,2013,2,5,May,13,0,Monday,1,20
2013-05-14,2013,2,5,May,14,1,Tuesday,1,20
2013-05-15,2013,2,5,May,15,2,Wednesday,1,20
2013-05-16,2013,2,5,May,16,3,Thursday,1,20
2013-05-17,2013,2,5,May,17,4,Friday,1,20
2013-05-18,2013,2,5,May,18,5,Saturday,0,20
2013-05-19,2013,2,5,May,19,6,Sunday,0,20
2013-05-20,2013,2,5,May,20,0,Monday,1,21
2013-05-21,2013,2,5,May,21,1,Tuesday,1,21
2013-05-22,2013,2,5,May,22,2,Wednesday,1,21
2013-05-23,2013,2,5,May,23,3,Thursday,1,21
2013-05-24,2013,2,5,May,24,4,Friday,1,21
2013-05-25,2013,2,5,May,25,5,Saturday,0,21
2013-05-26,2013,2,5,May,26,6,Sunday,0,21
2013-05-27,2013,2,5,May,27,0,Monday,1,22
2013-05-28,2013,2,5,May,28,1,Tuesday,1,22
2013-05-29,2013,2,5,May,29,2,Wednesday,1,22
2013-05-30,2013,2,5,May,30,3,Thursday,1,22
2013-05-31,2013,2,5,May,31,4,Friday,1,22
2013-06-01,2013,2,6,June,1,5,Saturday,0,22
2013-06-02,2013,2,6,June,2,6,Sunday,0,22
2013-06-03,2013,2,6,June,3,0,Monday,1,23
2013-06-04,2013,2,6,June,4,1,Tuesday,1,23
2013-06-05,2013,2,6,June,5,2,Wednesday,1,23
2013-06-06,2013,2,6,June,6,3,Thursday,1,23
2013-06-07,2013,2,6,June,7,4,Friday,1,23
2013-06-08,2013,2,6,June,8,5,Saturday,0,23
2013-06-09,2013,2,6,June,9,6,Sunday,0,23
2013-06-10,2013,2,6,June,10,0,Monday,1,24
2013-06-11,2013,2,6,June,11,1,Tuesday,1,24
2013-06-12,2013,2,6,June,12,2,Wednesday,1,24
2013-06-13,2013,2,6,June,13,3,Thursday,1,24
2013-06-14,2013,2,6,June,14,4,Friday,1,24
2013-06-15,2013,2,6,June,15,5,Saturday,0,24
2013-06-16,2013,2,6,June,16,6,Sunday,0,24
2013-06-17,2013,2,6,June,17,0,Monday,1,25
2013-06-18,2013,2,6,June,18,1,Tuesday,1,25
2013-06-19,2013,2,6,June,19,2,Wednesday,1,25
2013-06-20,2013,2,6,June,20,3,Thursday,1,25
2013-06-21,2013,2,6,June,21,4,Friday,1,25
2013-06-22,2013,2,6,June,22,5,Saturday,0,25
2013-06-23,2013,2,6,June,23,6,Sunday,0,25
2013-06-24,2013,2,6,June,24,0,Monday,1,26
2013-06-25,2013,2,6,June,25,1,Tuesday,1,26
2013-06-26,2013,2,6,June,26,2,Wednesday,1,26
2013-06-27,2013,2,6,June,27,3,Thursday,1,26
2013-06-28,2013,2,6,June,28,4,Friday,1,26
2013-06-29,2013,2,6,June,29,5,Saturday,0,26
2013-06-30,2013,2,6,June,30,6,Sunday,0,26
2013-07-01,2013,3,7,July,1,0,Monday,1,27
2013-07-02,2013,3,7,July,2,1,Tuesday,1,27
2013-07-03,2013,3,7,July,3,2,Wednesday,1,27
2013-07-04,2013,3,7,July,4,3,Thursday,1,27
2013-07-05,2013,3,7,July,5,4,Friday,1,27
2013-07-06,2013,3,7,July,6,5,Saturday,0,27
2013-07-07,2013,3,7,July,7,6,Sunday,0,27
2013-07-08,2013,3,7,July,8,0,Monday,1,28
2013-07-09,2013,3,7,July,9,1,Tuesday,1,28
2013-07-10,2013,3,7,July,10,2,Wednesday,1,28
2013-07-11,2013,3,7,July,11,3,Thursday,1,28
2013-07-12,2013,3,7,July,12,4,Friday,1,28
2013-07-13,2013,3,7,July,13,5,Saturday,0,28
2013-07-14,2013,3,7,July,14,6,Sunday,0,28
2013-07-15,2013,3,7,July,15,0,Monday,1,29
2013-07-16,2013,3,7,July,16,1,Tuesday,1,29
2013-07-17,2013,3,7,July,17,2,Wednesday,1,29
2013-07-18,2013,3,7,July,18,3,Thursday,1,29
2013-07-19,2013,3,7,July,19,4,Friday,1,29
2013-07-20,2013,3,7,July,20,5,Saturday,0,29
2013-07-21,2013,3,7,July,21,6,Sunday,0,29
2013-07-22,2013,3,7,July,22,0,Monday,1,30
2013-07-23,2013,3,7,July,23,1,Tuesday,1,30
2013-07-24,2013,3,7,July,24,2,Wednesday,1,30
2013-07-25,2013,3,7,July,25,3,Thursday,1,30
2013-07-26,2013,3,7,July,26,4,Friday,1,30
2013-07-27,2013,3,7,July,27,5,Saturday,0,30
2013-07-28,2013,3,7,July,28,6,Sunday,0,30
2013-07-29,2013,3,7,July,29,0,Monday,1,31
2013-07-30,2013,3,7,July,30,1,Tuesday,1,31
2013-07-31,2013,3,7,July,31,2,Wednesday,1,31
2013-08-01,2013,3,8,August,1,3,Thursday,1,31
2013-08-02,2013,3,8,August,2,4,Friday,1,31
2013-08-03,2013,3,8,August,3,5,Saturday,0,31
2013-08-04,2013,3,8,August,4,6,Sunday,0,31
2013-08-05,2013,3,8,August,5,0,Monday,1,32
2013-08-06,2013,3,8,August,6,1,Tuesday,1,32
2013-08-07,2013,3,8,August,7,2,Wednesday,1,32
2013-08-08,2013,3,8,August,8,3,Thursday,1,32
2013-08-09,2013,3,8,August,9,4,Friday,1,32
2013-08-10,2013,3,8,August,10,5,Saturday,0,32
2013-08-11,2013,3,8,August,11,6,Sunday,0,32
2013-08-12,2013,3,8,August,12,0,Monday,1,33
2013-08-13,2013,3,8,August,13,1,Tuesday,1,33
2013-08-14,2013,3,8,August,14,2,Wednesday,1,33
2013-08-15,2013,3,8,August,15,3,Thursday,1,33
2013-08-16,2013,3,8,August,16,4,Friday,1,33
2013-08-17,2013,3,8,August,17,5,Saturday,0,33
2013-08-18,2013,3,8,August,18,6,Sunday,0,33
2013-08-19,2013,3,8,August,19,0,Monday,1,34
2013-08-20,2013,3,8,August,20,1,Tuesday,1,34
2013-08-21,2013,3,8,August,21,2,Wednesday,1,34
2013-08-22,2013,3,8,August,22,3,Thursday,1,34
2013-08-23,2013,3,8,August,23,4,Friday,1,34
2013-08-24,2013,3,8,August,24,5,Saturday,0,34
2013-08-25,2013,3,8,August,25,6,Sunday,0,34
2013-08-26,2013,3,8,August,26,0,Monday,1,35
2013-08-27,2013,3,8,August,27,1,Tuesday,1,35
2013-08-28,2013,3,8,August,28,2,Wednesday,1,35
2013-08-29,2013,3,8,August,29,3,Thursday,1,35
2013-08-30,2013,3,8,August,30,4,Friday,1,35
2013-08-31,2013,3,8,August,31,5,Saturday,0,35
2013-09-01,2013,3,9,September,1,6,Sunday,0,35
2013-09-02,2013,3,9,September,2,0,Monday,1,36
2013-09-03,2013,3,9,September,3,1,Tuesday,1,36
2013-09-04,2013,3,9,September,4,2,Wednesday,1,36
2013-09-05,2013,3,9,September,5,3,Thursday,1,36
2013-09-06,2013,3,9,September,6,4,Friday,1,36
2013-09-07,2013,3,9,September,7,5,Saturday,0,36
2013-09-08,2013,3,9,September,8,6,Sunday,0,36
2013-09-09,2013,3,9,September,9,0,Monday,1,37
2013-09-10,2013,3,9,September,10,1,Tuesday,1,37
2013-09-11,2013,3,9,September,11,2,Wednesday,1,37
2013-09-12,2013,3,9,September,12,3,Thursday,1,37
2013-09-13,2013,3,9,September,13,4,Friday,1,37
2013-09-14,2013,3,9,September,14,5,Saturday,0,37
2013-09-15,2013,3,9,September,15,6,Sunday,0,37
2013-09-16,2013,3,9,September,16,0,Monday,1,38
2013-09-17,2013,3,9,September,17,1,Tuesday,1,38
2013-09-18,2013,3,9,September,18,2,Wednesday,1,38
2013-09-19,2013,3,9,September,19,3,Thursday,1,38
2013-09-20,2013,3,9,September,20,4,Friday,1,38
2013-09-21,2013,3,9,September,21,5,Saturday,0,38
2013-09-22,2013,3,9,September,22,6,Sunday,0,38
2013-09-23,2013,3,9,September,23,0,Monday,1,39
2013-09-24,2013,3,9,September,24,1,Tuesday,1,39
2013-09-25,2013,3,9,September,25,2,Wednesday,1,39
2013-09-26,2013,3,9,September,26,3,Thursday,1,39
2013-09-27,2013,3,9,September,27,4,Friday,1,39
2013-09-28,2013,3,9,September,28,5,Saturday,0,39
2013-09-29,2013,3,9,September,29,6,Sunday,0,39
2013-09-30,2013,3,9,September,30,0,Monday,1,40
2013-10-01,2013,4,10,October,1,1,Tuesday,1,40
2013-10-02,2013,4,10,October,2,2,Wednesday,1,40
2013-10-03,2013,4,10,October,3,3,Thursday,1,40
2013-10-04,2013,4,10,October,4,4,Friday,1,40
2013-10-05,2013,4,10,October,5,5,Saturday,0,40
2013-10-06,2013,4,10,October,6,6,Sunday,0,40
2013-10-07,2013,4,10,October,7,0,Monday,1,41
2013-10-08,2013,4,10,October,8,1,Tuesday,1,41
2013-10-09,2013,4,10,October,9,2,Wednesday,1,41
2013-10-10,2013,4,10,October,10,3,Thursday,1,41
2013-10-11,2013,4,10,October,11,4,Friday,1,41
2013-10-12,2013,4,10,October,12,5,Saturday,0,41
2013-10-13,2013,4,10,October,13,6,Sunday,0,41
2013-10-14,2013,4,10,October,14,0,Monday,1,42
2013-10-15,2013,4,10,October,15,1,Tuesday,1,42
2013-10-16,2013,4,10,October,16,2,Wednesday,1,42
2013-10-17,2013,4,10,October,17,3,Thursday,1,42
2013-10-18,2013,4,10,October,18,4,Friday,1,42
2013-10-19,2013,4,10,October,19,5,Saturday,0,42
2013-10-20,2013,4,10,October,20,6,Sunday,0,42
2013-10-21,2013,4,10,October,21,0,Monday,1,43
2013-10-22,2013,4,10,October,22,1,Tuesday,1,43
2013-10-23,2013,4,10,October,23,2,Wednesday,1,43
2013-10-24,2013,4,10,October,24,3,Thursday,1,43
2013-10-25,2013,4,10,October,25,4,Friday,1,43
2013-10-26,2013,4,10,October,26,5,Saturday,0,43
2013-10-27,2013,4,10,October,27,6,Sunday,0,43
2013-10-28,2013,4,10,October,28,0,Monday,1,44
2013-10-29,2013,4,10,October,29,1,Tuesday,1,44
2013-10-30,2013,4,10,October,30,2,Wednesday,1,44
2013-10-31,2013,4,10,October,31,3,Thursday,1,44
2013-11-01,2013,4,11,November,1,4,Friday,1,44
2013-11-02,2013,4,11,November,2,5,Saturday,0,44
2013-11-03,2013,4,11,November,3,6,Sunday,0,44
2013-11-04,2013,4,11,November,4,0,Monday,1,45
2013-11-05,2013,4,11,November,5,1,Tuesday,1,45
2013-11-06,2013,4,11,November,6,2,Wednesday,1,45
2013-11-07,2013,4,11,November,7,3,Thursday,1,45
2013-11-08,2013,4,11,November,8,4,Friday,1,45
2013-11-09,2013,4,11,November,9,5,Saturday,0,45
2013-11-10,2013,4,11,November,10,6,Sunday,0,45
2013-11-11,2013,4,11,November,11,0,Monday,1,46
2013-11-12,2013,4,11,November,12,1,Tuesday,1,46
2013-11-13,2013,4,11,November,13,2,Wednesday,1,46
2013-11-14,2013,4,11,November,14,3,Thursday,1,46
2013-11-15,2013,4,11,November,15,4,Friday,1,46
2013-11-16,2013,4,11,November,16,5,Saturday,0,46
2013-11-17,2013,4,11,November,17,6,Sunday,0,46
2013-11-18,2013,4,11,November,18,0,Monday,1,47
2013-11-19,2013,4,11,November,19,1,Tuesday,1,47
2013-11-20,2013,4,11,November,20,2,Wednesday,1,47
2013-11-21,2013,4,11,November,21,3,Thursday,1,47
2013-11-22,2013,4,11,November,22,4,Friday,1,47
2013-11-23,2013,4,11,November,23,5,Saturday,0,47
2013-11-24,2013,4,11,November,24,6,Sunday,0,47
2013-11-25,2013,4,11,November,25,0,Monday,1,48
2013-11-26,2013,4,11,November,26,1,Tuesday,1,48
2013-11-27,2013,4,11,November,27,2,Wednesday,1,48
2013-11-28,2013,4,11,November,28,3,Thursday,1,48
2013-11-29,2013,4,11,November,29,4,Friday,1,48
2013-11-30,2013,4,11,November,30,5,Saturday,0,48
2013-12-01,2013,4,12,December,1,6,Sunday,0,48
2013-12-02,2013,4,12,December,2,0,Monday,1,49
2013-12-03,2013,4,12,December,3,1,Tuesday,1,49
2013-12-04,2013,4,12,December,4,2,Wednesday,1,49
2013-12-05,2013,4,12,December,5,3,Thursday,1,49
2013-12-06,2013,4,12,December,6,4,Friday,1,49
2013-12-07,2013,4,12,December,7,5,Saturday,0,49
2013-12-08,2013,4,12,December,8,6,Sunday,0,49
2013-12-09,2013,4,12,December,9,0,Monday,1,50
2013-12-10,2013,4,12,December,10,1,Tuesday,1,50
2013-12-11,2013,4,12,December,11,2,Wednesday,1,50
2013-12-12,2013,4,12,December,12,3,Thursday,1,50
2013-12-13,2013,4,12,December,13,4,Friday,1,50
2013-12-14,2013,4,12,December,14,5,Saturday,0,50
2013-12-15,2013,4,12,December,15,6,Sunday,0,50
2013-12-16,2013,4,12,December,16,0,Monday,1,51
2013-12-17,2013,4,12,December,17,1,Tuesday,1,51
2013-12-18,2013,4,12,December,18,2,Wednesday,1,51
2013-12-19,2013,4,12,December,19,3,Thursday,1,51
2013-12-20,2013,4,12,December,20,4,Friday,1,51
2013-12-21,2013,4,12,December,21,5,Saturday,0,51
2013-12-22,2013,4,12,December,22,6,Sunday,0,51
2013-12-23,2013,4,12,December,23,0,Monday,1,52
2013-12-24,2013,4,12,December,24,1,Tuesday,1,52
2013-12-25,2013,4,12,December,25,2,Wednesday,1,52
2013-12-26,2013,4,12,December,26,3,Thursday,1,52
2013-12-27,2013,4,12,December,27,4,Friday,1,52
2013-12-28,2013,4,12,December,28,5,Saturday,0,52
2013-12-29,2013,4,12,December,29,6,Sunday,0,52
2013-12-30,2013,4,12,December,30,0,Monday,1,1
2013-12-31,2013,4,12,December,31,1,Tuesday,1,1
2014-01-01,2014,1,1,January,1,2,Wednesday,1,1
2014-01-02,2014,1,1,January,2,3,Thursday,1,1
2014-01-03,2014,1,1,January,3,4,Friday,1,1
2014-01-04,2014,1,1,January,4,5,Saturday,0,1
2014-01-05,2014,1,1,January,5,6,Sunday,0,1
2014-01-06,2014,1,1,January,6,0,Monday,1,2
2014-01-07,2014,1,1,January,7,1,Tuesday,1,2
2014-01-08,2014,1,1,January,8,2,Wednesday,1,2
2014-01-09,2014,1,1,January,9,3,Thursday,1,2
2014-01-10,2014,1,1,January,10,4,Friday,1,2
2014-01-11,2014,1,1,January,11,5,Saturday,0,2
2014-01-12,2014,1,1,January,12,6,Sunday,0,2
2014-01-13,2014,1,1,January,13,0,Monday,1,3
2014-01-14,2014,1,1,January,14,1,Tuesday,1,3
2014-01-15,2014,1,1,January,15,2,Wednesday,1,3
2014-01-16,2014,1,1,January,16,3,Thursday,1,3
2014-01-17,2014,1,1,January,17,4,Friday,1,3
2014-01-18,2014,1,1,January,18,5,Saturday,0,3
2014-01-19,2014,1,1,January,19,6,Sunday,0,3
2014-01-20,2014,1,1,January,20,0,Monday,1,4
2014-01-21,2014,1,1,January,21,1,Tuesday,1,4
2014-01-22,2014,1,1,January,22,2,Wednesday,1,4
2014-01-23,2014,1,1,January,23,3,Thursday,1,4
