date_val,record_count,avg_traffic_volume,total_traffic_volume,min_traffic_volume,max_traffic_volume
2012-11-23,33,2585.94,85336,341,4231
2012-11-24,23,2345.83,53954,299,4494
2012-11-25,23,2353.87,54139,271,4880
2012-11-26,23,3327.83,76540,258,6752
2012-11-27,24,3547.79,85147,247,6768
2012-11-28,24,3575.75,85818,245,6995
2012-11-29,23,3785.13,87058,279,7020
2012-11-30,23,3796.0,87308,340,6749
2012-12-01,36,3378.31,121619,384,5231
2012-12-02,30,2522.1,75663,301,4329
2012-12-03,35,3286.17,115016,234,6393
2012-12-04,27,3814.85,103001,253,7051
2012-12-05,23,3803.87,87489,264,6888
2012-12-06,24,3787.54,90901,273,6789
2012-12-07,24,3737.75,89706,322,6082
2012-12-08,26,3056.08,79458,356,5327
2012-12-09,23,1261.22,29008,291,2483
2012-12-10,67,2915.52,195340,216,4685
2012-12-11,26,3043.96,79143,255,5325
2012-12-12,29,3248.03,94193,245,6208
2012-12-13,25,3495.68,87392,268,6385
2012-12-14,26,3735.54,97124,371,6507
2012-12-15,25,2549.52,63738,385,4347
2012-12-16,81,2226.35,180334,271,4130
2012-12-17,27,3110.0,83970,250,6520
2012-12-18,36,4020.06,144722,248,6656
2012-12-19,44,3500.86,154038,278,6803
2012-12-20,28,3533.39,98935,281,6333
2012-12-21,37,3449.35,127626,318,5999
2012-12-22,24,2582.71,61985,394,4678
2012-12-23,23,2131.78,49031,261,4039
2012-12-24,24,2268.17,54436,250,4048
2012-12-25,25,1603.28,40082,125,2944
2012-12-26,24,2949.46,70787,252,5489
2012-12-27,24,3130.75,75138,301,5652
2012-12-28,32,3215.0,102880,346,5441
2012-12-29,41,2358.07,96681,357,4732
2012-12-30,28,2357.71,66016,270,4644
2012-12-31,25,3028.8,75720,295,4976
2013-01-01,24,1659.04,39817,372,3121
2013-01-02,27,3355.59,90601,243,5829
2013-01-03,42,3539.93,148677,276,6431
2013-01-04,31,3402.81,105487,301,6380
2013-01-05,19,2907.95,55251,375,4406
2013-01-06,28,2085.04,58381,256,4074
2013-01-07,24,3360.5,80652,248,6681
2013-01-08,22,3364.45,74018,230,6771
2013-01-09,20,3748.9,74978,271,6852
2013-01-10,9,2771.56,24944,314,5886
2013-01-11,33,3329.61,109877,308,6029
2013-01-12,51,2762.35,140880,353,4557
2013-01-13,21,1838.29,38604,199,3907
2013-01-14,30,3668.0,110040,222,6579
2013-01-15,22,3350.86,73719,246,6493
2013-01-16,22,3819.77,84035,249,6465
2013-01-17,26,3813.73,99157,279,6857
2013-01-18,24,3665.38,87969,301,6514
2013-01-19,24,2753.42,66082,353,4973
2013-01-20,18,2201.72,39631,246,4028
2013-01-21,21,2730.05,57331,270,4561
2013-01-22,19,3432.37,65215,185,6331
2013-01-23,22,3787.86,83333,248,6606
2013-01-24,22,3740.23,82285,254,6870
2013-01-25,18,3640.33,65526,283,6593
2013-01-26,8,2005.13,16041,385,4947
2013-01-27,15,1898.47,28477,462,3813
2013-01-28,18,3360.67,60492,261,5708
2013-01-29,1,434.0,434,434,434
2013-01-30,23,3913.22,90004,243,6945
2013-01-31,22,3388.27,74542,261,6485
2013-02-01,24,3558.46,85403,291,6681
2013-02-02,24,2799.67,67192,354,4907
2013-02-03,23,2151.83,49492,255,4665
2013-02-04,24,3323.04,79753,265,6316
2013-02-05,22,3455.73,76026,243,6242
2013-02-06,19,3375.53,64135,271,6531
2013-02-07,18,3767.44,67814,372,6497
2013-02-08,29,3459.93,100338,324,6710
2013-02-09,19,3090.74,58724,426,4880
2013-02-10,23,1485.91,34176,299,2460
2013-02-11,53,3481.79,184535,252,6202
2013-02-12,25,3276.52,81913,289,6655
2013-02-13,20,3535.75,70715,264,6759
2013-02-14,35,3620.31,126711,278,6943
2013-02-15,25,3156.04,78901,349,6660
2013-02-16,23,2917.43,67101,341,4880
2013-02-17,26,2585.92,67234,268,4422
2013-02-18,24,3117.04,74809,295,5512
2013-02-19,21,3569.38,74957,235,6996
2013-02-20,16,3550.5,56808,220,6723
2013-02-21,20,3962.75,79255,244,6986
2013-02-22,24,3072.17,73732,309,5830
2013-02-23,39,2310.44,90107,367,4776
2013-02-24,29,2087.38,60534,252,4473
2013-02-25,31,3100.16,96105,229,6920
2013-02-26,28,3710.86,103904,229,6776
2013-02-27,34,3851.24,130942,263,7067
2013-02-28,19,3511.05,66710,256,7029
2013-03-01,23,3943.39,90698,345,6864
2013-03-02,23,3016.74,69385,371,5219
2013-03-03,22,2581.77,56799,277,4356
2013-03-04,20,3082.65,61653,256,6235
2013-03-05,27,2514.52,67892,289,4805
2013-03-06,25,3158.92,78973,266,6720
2013-03-07,16,3484.44,55751,295,6920
2013-03-08,28,3514.61,98409,352,6023
2013-03-09,20,2619.5,52390,389,4776
2013-03-10,45,2263.27,101847,380,4230
2013-03-11,23,2650.96,60972,362,6607
2013-03-12,13,3834.23,49845,258,6558
2013-03-13,14,3807.0,53298,368,6850
2013-03-14,15,3446.67,51700,331,5718
2013-03-15,16,3661.56,58585,356,6289
2013-03-16,30,3263.13,97894,369,5155
2013-03-17,14,2253.79,31553,308,4319
2013-03-18,13,2784.69,36201,308,5339
2013-03-19,28,4292.18,120181,317,6574
2013-03-20,22,3825.68,84165,282,6761
2013-03-21,24,3820.67,91696,282,6847
2013-03-22,24,3877.46,93059,360,6497
2013-03-23,24,3103.21,74477,394,6264
2013-03-24,24,2469.79,59275,277,4652
2013-03-25,26,3619.15,94098,298,6581
2013-03-26,24,3504.88,84117,221,6784
2013-03-27,23,3672.39,84465,264,6743
2013-03-28,24,3694.88,88677,296,6780
2013-03-29,24,3640.46,87371,304,5998
2013-03-30,24,2683.33,64400,339,4502
2013-03-31,37,1961.89,72590,245,4246
2013-04-01,21,3442.38,72290,248,6597
2013-04-02,24,3679.96,88319,267,7009
2013-04-03,24,3804.17,91300,268,6637
2013-04-04,23,3899.35,89685,275,6841
2013-04-05,23,3781.74,86980,310,6756
2013-04-06,32,3250.22,104007,349,5007
2013-04-07,32,2727.34,87275,284,4342
2013-04-08,29,3204.1,92919,262,6971
2013-04-09,44,3204.14,140982,268,7110
2013-04-10,31,3592.84,111378,227,6812
2013-04-11,32,2419.0,77408,238,5668
2013-04-12,52,4288.37,222995,309,6595
2013-04-13,40,2506.25,100250,351,5311
2013-04-14,30,1803.2,54096,253,3946
2013-04-15,37,4056.76,150100,233,7082
2013-04-16,24,3729.04,89497,234,7016
2013-04-17,23,3662.7,84242,239,7039
2013-04-18,42,2464.21,103497,264,7150
2013-04-19,60,3510.32,210619,261,6160
2013-04-20,35,2604.63,91162,390,5053
2013-04-21,24,2434.17,58420,273,4542
2013-04-22,36,3202.53,115291,278,7062
2013-04-23,46,3786.37,174173,240,6519
2013-04-24,28,3064.04,85793,276,6725
2013-04-25,26,4057.96,105507,276,6813
2013-04-26,24,3922.13,94131,296,7009
2013-04-27,25,2994.04,74851,371,5426
2013-04-28,24,2649.79,63595,284,5034
2013-04-29,24,3629.38,87105,267,6851
2013-04-30,24,3753.13,90075,275,7217
2013-05-01,23,3704.83,85211,283,6421
2013-05-02,41,4387.12,179872,268,6818
2013-05-03,25,3690.0,92250,337,6478
2013-05-04,49,3594.49,176130,361,4991
2013-05-05,25,2552.16,63804,314,5734
2013-05-06,24,3611.75,86682,284,6970
2013-05-07,24,3837.54,92101,259,6763
2013-05-08,24,3754.33,90104,298,6888
2013-05-09,34,3776.94,128416,262,6800
2013-05-10,26,3837.54,99776,292,6802
2013-05-11,24,2187.33,52496,304,3793
2013-05-12,25,1844.4,46110,226,3311
2013-05-13,24,3604.79,86515,227,6969
2013-05-14,24,3811.83,91484,238,6653
2013-05-15,24,3847.25,92334,261,6624
2013-05-16,24,3837.79,92107,277,6642
2013-05-17,23,3740.7,86036,311,6778
2013-05-18,34,3297.71,112122,352,4935
2013-05-19,52,2309.23,120080,318,4679
2013-05-20,43,4208.74,180976,325,6369
2013-05-21,39,3550.08,138453,258,6768
2013-05-22,47,3571.81,167875,228,6880
2013-05-23,39,3902.54,152199,280,6717
2013-05-24,24,3604.42,86506,325,6372
2013-05-25,27,2473.15,66775,323,4537
2013-05-26,26,1983.69,51576,255,3637
2013-05-27,24,1966.96,47207,264,3812
2013-05-28,27,3398.74,91766,268,6658
2013-05-29,29,4175.24,121082,243,7068
2013-05-30,30,3806.1,114183,250,6778
2013-05-31,36,3055.69,110005,339,6653
2013-06-01,28,2590.89,72545,421,4975
2013-06-02,26,2787.42,72473,355,4702
2013-06-03,24,3613.96,86735,319,6746
2013-06-04,24,3707.17,88972,256,6852
2013-06-05,30,3671.1,110133,249,6762
2013-06-06,48,4071.04,195410,281,6744
2013-06-07,30,4045.33,121360,321,6787
2013-06-08,24,2832.29,67975,414,4535
2013-06-09,25,2441.16,61029,481,4300
2013-06-10,35,4215.49,147542,292,6873
2013-06-11,31,3587.74,111220,284,6738
2013-06-12,28,3697.68,103535,266,6759
2013-06-13,38,3660.13,139085,328,6535
2013-06-14,24,3856.96,92567,382,6651
2013-06-15,24,2786.29,66871,389,4761
2013-06-16,29,2827.28,81991,335,4472
2013-06-17,26,3489.19,90719,298,6520
2013-06-18,24,3870.83,92900,314,6910
2013-06-19,12,3179.42,38153,276,6708
2013-06-20,10,4386.8,43868,880,6065
2013-06-21,8,1816.38,14531,324,6138
2013-06-22,20,1121.15,22423,380,3753
2013-06-23,21,1839.9,38638,635,4603
2013-06-24,27,4029.04,108784,324,6366
2013-06-25,26,4019.23,104500,278,6724
2013-06-26,24,3850.33,92408,308,6605
2013-06-27,24,3922.33,94136,336,6337
2013-06-28,23,3827.09,88023,370,6507
2013-06-29,24,2963.0,71112,410,5234
2013-06-30,30,2231.23,66937,354,4452
2013-07-01,24,3654.75,87714,341,6783
2013-07-02,24,3798.58,91166,333,6759
2013-07-03,23,3702.78,85164,364,6321
2013-07-04,24,2098.17,50356,333,3526
2013-07-05,23,3006.52,69150,334,4879
2013-07-06,23,2413.57,55512,366,3957
2013-07-07,24,2495.08,59882,359,4379
2013-07-08,25,3587.88,89697,306,6773
2013-07-09,27,3873.19,104576,308,6680
2013-07-10,27,4080.93,110185,345,6777
2013-07-11,23,3805.65,87530,316,6508
2013-07-12,23,3898.3,89661,384,6613
2013-07-13,24,2793.0,67032,395,4752
2013-07-14,34,2277.91,77449,381,4438
2013-07-15,15,3028.33,45425,293,6388
2013-07-16,21,3806.19,79930,277,6550
2013-07-17,22,3844.09,84570,284,6659
2013-07-18,22,3837.5,84425,314,6477
2013-07-19,23,4129.13,94970,404,6525
2013-07-20,23,3033.96,69781,426,5077
2013-07-21,25,2469.84,61746,329,4505
2013-07-22,28,4066.61,113865,291,6403
2013-07-23,23,3669.78,84405,274,6266
2013-07-24,21,4004.14,84087,314,6566
2013-07-25,24,3867.42,92818,310,6423
2013-07-26,23,3548.43,81614,332,6509
2013-07-27,25,2670.28,66757,402,4591
2013-07-28,25,2632.8,65820,318,4706
2013-07-29,23,3601.3,82830,324,6505
2013-07-30,23,3771.26,86739,283,7070
2013-07-31,34,4004.44,136151,287,6866
2013-08-01,30,3934.03,118021,344,6440
2013-08-02,24,3993.38,95841,390,6342
2013-08-03,22,2866.77,63069,406,4677
2013-08-04,24,2555.33,61328,337,4572
2013-08-05,23,3743.91,86110,321,6597
2013-08-06,31,3535.48,109600,292,6791
2013-08-07,20,3487.05,69741,315,6986
2013-08-08,22,4140.55,91092,300,6771
2013-08-09,22,3998.64,87970,370,6474
2013-08-10,22,3089.91,67978,463,4721
2013-08-11,23,2558.65,58849,315,4591
2013-08-12,24,3709.67,89032,296,6583
2013-08-13,24,3881.29,93151,311,6720
2013-08-14,19,3726.11,70796,271,6599
2013-08-15,16,3513.13,56210,334,6630
2013-08-16,20,4200.15,84003,381,6585
2013-08-17,24,2894.63,69471,397,4728
2013-08-18,23,2705.96,62237,301,4601
2013-08-19,24,3677.38,88257,307,6655
2013-08-20,24,3824.25,91782,294,6865
2013-08-21,23,3839.0,88297,330,6714
2013-08-22,24,3865.29,92767,302,6823
2013-08-23,23,4048.96,93126,369,6693
2013-08-24,14,3051.93,42727,422,5154
2013-08-25,22,2953.59,64979,377,4851
2013-08-26,22,3820.14,84043,328,6512
2013-08-27,6,3162.0,18972,620,6653
2013-08-28,12,3212.08,38545,318,6760
2013-08-29,14,4517.64,63247,643,7023
2013-08-30,28,4108.46,115037,377,6601
2013-08-31,1,1321.0,1321,1321,1321
2013-09-01,1,1712.0,1712,1712,1712
2013-09-02,22,2438.05,53637,259,4454
2013-09-03,4,365.5,1462,223,573
2013-09-04,15,4671.13,70067,2027,6455
2013-09-05,15,3621.2,54318,292,6276
2013-09-06,15,3806.0,57090,306,6535
2013-09-07,9,1925.67,17331,433,3792
2013-09-08,12,3148.25,37779,553,4326
2013-09-09,31,4133.48,128138,284,6641
2013-09-10,17,3717.35,63195,252,6400
2013-09-11,18,3979.67,71634,286,6640
2013-09-12,6,2942.0,17652,282,5687
2013-09-13,17,3968.41,67463,358,6435
2013-09-14,24,2850.83,68420,574,4782
2013-09-15,24,1952.96,46871,289,4523
2013-09-16,15,2899.93,43499,237,6158
2013-09-17,22,3030.32,66667,233,6605
2013-09-18,23,3379.87,77737,331,6807
2013-09-19,17,3661.35,62243,260,6720
2013-09-20,15,3642.53,54638,312,6055
2013-09-21,10,2114.6,21146,416,4042
2013-09-22,11,2863.55,31499,663,4883
2013-09-23,7,3474.86,24324,261,6679
2013-09-24,12,3825.42,45905,376,6069
2013-09-25,17,3638.65,61857,241,6000
2013-09-26,22,3939.95,86679,270,6709
2013-09-27,22,3842.32,84531,315,6637
2013-09-28,22,3184.5,70059,432,5208
2013-09-29,22,2592.77,57041,329,4794
2013-09-30,11,2636.45,29001,270,6469
2013-10-01,2,1984.5,3969,1299,2670
2013-10-02,3,899.0,2697,899,899
2013-10-03,25,4184.24,104606,273,6529
2013-10-04,21,3880.67,81494,343,6680
2013-10-05,32,2778.28,88905,373,5739
2013-10-06,36,3315.83,119370,344,6645
2013-10-07,16,3459.81,55357,227,6527
2013-10-08,12,4030.92,48371,213,6795
2013-10-09,24,3762.71,90305,272,6709
2013-10-10,24,3915.13,93963,271,6668
2013-10-11,18,3794.67,68304,316,6775
2013-10-12,14,3446.93,48257,418,5463
2013-10-13,9,2635.89,23723,351,5353
2013-10-14,13,3369.15,43799,291,5737
2013-10-15,30,3710.3,111309,340,6237
2013-10-16,14,3997.5,55965,268,6344
2013-10-17,24,3880.71,93137,344,6659
2013-10-18,26,3057.0,79482,341,6277
2013-10-19,19,2960.95,56258,393,5508
2013-10-20,18,3022.78,54410,394,4655
2013-10-21,15,4316.6,64749,1018,6827
2013-10-22,11,3406.18,37468,251,6876
2013-10-23,11,4273.18,47005,1041,6922
2013-10-24,6,4985.67,29914,1400,7094
2013-10-25,10,4479.0,44790,2088,6771
2013-10-26,8,4264.75,34118,2555,6116
2013-10-27,1,822.0,822,822,822
2013-11-06,18,4126.56,74278,859,6934
2013-11-07,19,3798.11,72164,263,7110
2013-11-08,23,3863.78,88867,317,6703
2013-11-09,23,2876.13,66151,373,4537
2013-11-10,24,2246.25,53910,260,4319
2013-11-11,23,3211.09,73855,215,6170
2013-11-12,24,3697.63,88743,206,6874
2013-11-13,24,3830.58,91934,259,7020
2013-11-14,23,3738.74,85991,255,6866
2013-11-15,26,4168.0,108368,315,6789
2013-11-16,34,3152.85,107197,387,4592
2013-11-17,24,2186.67,52480,289,4351
2013-11-18,21,3209.95,67409,249,6964
2013-11-19,24,3691.29,88591,208,7015
2013-11-20,26,3677.23,95608,262,7107
2013-11-21,26,3864.77,100484,289,6485
2013-11-22,24,3963.33,95120,332,6641
2013-11-23,24,2774.42,66586,362,5311
2013-11-24,24,2218.21,53237,292,4148
2013-11-25,21,3246.71,68181,232,6492
2013-11-26,21,3866.33,81193,251,6891
2013-11-27,24,3770.38,90489,292,6366
2013-11-28,23,2097.17,48235,264,3649
2013-11-29,23,2739.13,63000,319,4742
2013-11-30,24,2695.42,64690,341,4846
2013-12-01,24,2509.38,60225,296,4963
2013-12-02,49,3576.59,175253,243,6277
2013-12-03,56,3948.61,221122,272,6118
2013-12-04,48,3097.77,148693,275,4540
2013-12-05,22,3582.45,78814,273,5792
2013-12-06,24,3666.08,87986,305,6058
2013-12-07,22,2648.73,58272,317,4893
2013-12-08,38,2001.11,76042,271,3453
2013-12-09,26,2622.54,68186,231,5808
2013-12-10,28,3238.14,90668,257,6014
2013-12-11,21,3390.57,71202,292,6274
2013-12-12,24,3599.63,86391,256,6094
2013-12-13,26,3589.19,93319,296,6314
2013-12-14,29,2432.0,70528,365,4825
2013-12-15,24,2268.58,54446,270,4322
2013-12-16,26,3040.58,79055,231,5626
2013-12-17,23,3565.61,82009,286,5895
2013-12-18,22,3684.73,81064,341,6236
2013-12-19,25,3502.12,87553,288,6310
2013-12-20,27,3019.78,81534,364,5906
2013-12-21,23,2652.04,60997,336,4751
2013-12-22,22,2004.5,44099,272,3846
2013-12-23,28,2730.14,76444,278,5294
2013-12-24,31,2166.65,67166,258,4324
2013-12-25,32,1527.63,48884,164,2735
2013-12-26,25,2912.0,72800,247,5135
2013-12-27,26,2694.92,70068,308,5785
2013-12-28,35,2076.66,72683,323,4451
2013-12-29,24,1988.75,47730,300,3769
2013-12-30,28,2828.54,79199,256,4855
2013-12-31,23,3034.74,69799,288,5241
2014-01-01,22,1637.45,36024,329,2920
2014-01-02,22,3301.5,72633,213,5654
2014-01-03,30,3970.67,119120,285,5923
2014-01-04,25,2277.96,56949,318,4412
2014-01-05,23,1643.48,37800,232,3230
2014-01-06,23,2268.57,52177,193,4471
2014-01-07,22,3029.23,66643,209,5761
2014-01-08,23,3286.43,75588,236,6280
2014-01-09,23,3754.17,86346,311,6421
2014-01-10,27,3332.19,89969,287,6235
2014-01-11,23,2835.48,65216,365,4706
2014-01-12,23,2063.04,47450,261,4151
2014-01-13,26,3146.31,81804,210,6276
2014-01-14,37,2780.3,102871,242,5725
2014-01-15,28,3542.32,99185,305,6252
2014-01-16,31,3487.16,108102,271,6413
2014-01-17,24,3821.5,91716,306,6430
2014-01-18,24,2557.88,61389,389,4434
2014-01-19,23,2314.52,53234,286,4410
2014-01-20,23,2793.13,64242,251,4687
2014-01-21,24,3319.13,79659,222,6322
2014-01-22,29,3092.97,89696,271,6427
2014-01-23,22,3285.0,72270,244,5953
2014-01-24,29,3430.86,99495,279,6398
2014-01-25,27,2743.48,74074,369,4762
2014-01-26,34,1492.85,50757,303,3701
2014-01-27,24,2637.83,63308,195,5028
2014-01-28,24,3153.83,75692,194,5958
2014-01-29,24,3451.71,82841,233,6285
2014-01-30,24,2599.67,62392,268,4730
2014-01-31,24,3638.75,87330,313,5979
2014-02-01,24,2852.58,68462,347,4933
2014-02-02,24,2091.08,50186,284,4295
2014-02-03,24,3345.83,80300,230,6136
2014-02-04,24,3557.75,85386,234,6404
2014-02-05,24,3479.0,83496,227,6415
2014-02-06,24,3604.92,86518,245,6498
2014-02-07,24,3711.33,89072,308,6208
2014-02-08,24,2752.58,66062,343,4694
2014-02-09,24,2284.08,54818,264,4117
2014-02-10,24,3375.63,81015,298,6403
2014-02-11,24,3403.13,81675,212,6431
2014-02-12,24,3478.83,83492,246,6650
2014-02-13,24,3582.13,85971,231,6404
2014-02-14,24,3857.17,92572,295,6403
2014-02-15,24,2509.71,60233,334,4213
2014-02-16,24,2241.08,53786,252,4354
2014-02-17,24,2471.88,59325,245,4527
2014-02-18,24,3572.42,85738,269,6395
2014-02-19,24,3662.63,87903,259,6660
2014-02-20,24,2788.33,66920,279,6132
2014-02-21,24,1943.0,46632,218,3560
2014-02-22,24,2192.17,52612,300,3651
2014-02-23,24,2123.75,50970,290,3888
2014-02-24,24,3210.38,77049,231,5983
2014-02-25,27,3047.33,82278,244,6326
2014-02-26,24,3362.38,80697,232,6027
2014-02-27,24,3498.21,83957,269,6224
2014-02-28,24,3674.5,88188,290,6308
2014-03-01,24,2731.71,65561,364,4731
2014-03-02,24,2212.17,53092,257,4122
2014-03-03,24,3415.75,81978,263,6158
2014-03-04,19,3000.05,57001,237,5464
2014-03-05,24,3592.79,86227,211,6350
2014-03-06,24,3720.58,89294,249,6541
2014-03-07,24,3775.54,90613,315,6644
2014-03-08,24,3231.83,77564,433,5458
2014-03-09,23,2680.17,61644,433,4850
2014-03-10,24,3503.21,84077,302,6260
2014-03-11,24,3625.58,87014,278,6418
2014-03-12,24,3687.33,88496,237,6462
2014-03-13,24,3755.96,90143,241,6598
2014-03-14,24,3742.21,89813,303,6316
2014-03-15,24,2956.79,70963,355,4893
2014-03-16,24,2385.17,57244,294,4429
2014-03-17,24,3304.08,79298,218,6306
2014-03-18,24,3495.79,83899,290,6309
2014-03-19,24,3379.67,81112,289,6140
2014-03-20,24,3699.25,88782,237,6585
2014-03-21,24,3668.42,88042,300,6290
2014-03-22,24,2863.75,68730,373,6016
2014-03-23,24,2281.46,54755,283,4587
2014-03-24,24,3356.25,80550,212,6529
2014-03-25,24,3597.5,86340,219,6538
2014-03-26,24,3761.63,90279,240,6641
2014-03-27,24,3555.67,85336,237,6218
2014-03-28,24,3825.08,91802,286,6421
2014-03-29,24,3005.29,72127,372,5225
2014-03-30,24,2468.38,59241,292,4652
2014-03-31,24,3428.0,82272,359,6318
2014-04-01,24,3488.29,83719,233,6397
2014-04-02,23,3607.17,82965,269,6641
2014-04-03,24,3384.0,81216,260,6421
2014-04-04,24,2888.79,69331,305,5663
2014-04-05,24,2953.29,70879,363,4949
2014-04-06,24,2364.25,56742,297,4522
2014-04-07,24,3602.96,86471,242,6590
2014-04-08,24,3812.04,91489,231,6816
2014-04-09,24,3831.21,91949,277,6972
2014-04-10,24,3921.17,94108,265,6699
2014-04-11,24,3949.63,94791,306,6719
2014-04-12,24,2975.0,71400,385,5322
2014-04-13,24,2445.96,58703,278,4388
2014-04-14,24,3543.92,85054,254,6794
2014-04-15,24,3773.83,90572,243,6877
2014-04-16,24,3557.04,85369,261,6948
2014-04-17,24,3676.79,88243,245,6482
2014-04-18,24,3721.88,89325,328,6022
2014-04-19,24,2693.25,64638,330,4496
2014-04-20,22,2400.77,52817,235,4492
2014-04-21,26,3912.96,101737,255,6557
2014-04-22,24,3716.92,89206,232,6816
2014-04-23,24,3669.88,88077,248,6943
2014-04-24,24,3792.13,91011,269,6747
2014-04-25,24,3898.04,93553,349,6349
2014-04-26,24,2072.54,49741,226,3787
2014-04-27,24,1925.21,46205,237,3667
2014-04-28,24,3463.08,83114,206,6438
2014-04-29,9,2511.56,22604,255,6203
2014-05-04,19,3082.0,58558,531,4721
2014-05-05,24,3639.71,87353,241,6796
2014-05-06,21,3451.1,72473,250,6493
2014-05-07,24,3773.33,90560,317,7070
2014-05-08,56,3887.02,217673,258,6174
2014-05-09,27,3590.0,96930,306,6540
2014-05-10,29,2892.31,83877,385,5039
2014-05-11,33,2095.58,69154,265,4538
2014-05-12,42,3524.4,148025,260,6676
2014-05-13,25,3737.04,93426,265,6908
2014-05-14,24,3908.17,93796,313,6825
2014-05-15,24,3961.96,95087,289,6875
2014-05-16,24,3982.71,95585,386,6503
2014-05-17,24,3168.08,76034,387,5308
2014-05-18,24,2732.33,65576,357,5064
2014-05-19,49,3681.08,180373,295,6344
2014-05-20,44,3825.77,168334,255,6885
2014-05-21,24,3763.0,90312,370,6701
2014-05-22,24,3812.21,91493,304,6547
2014-05-23,24,3712.33,89096,302,6165
2014-05-24,24,2597.96,62351,360,4198
2014-05-25,24,2189.5,52548,299,3813
2014-05-26,24,2097.83,50348,268,3783
2014-05-27,24,3547.92,85150,245,6537
2014-05-28,24,3788.33,90920,281,6868
2014-05-29,24,3857.54,92581,287,6685
2014-05-30,24,3904.17,93700,330,6653
2014-05-31,25,3060.72,76518,452,5219
2014-06-01,35,2099.97,73499,362,4736
2014-06-02,36,3079.83,110874,292,6443
2014-06-03,21,3613.52,75884,304,6729
2014-06-04,20,3561.0,71220,359,6888
2014-06-05,25,3783.44,94586,343,6436
2014-06-06,31,3881.77,120335,313,6517
2014-06-07,40,3244.5,129780,475,5631
2014-06-08,31,2507.74,77740,374,5294
2014-06-09,24,3619.46,86867,315,6735
2014-06-10,13,2792.77,36306,261,6567
2014-06-11,9,3639.78,32758,284,6911
2014-06-12,6,3157.17,18943,423,5859
2014-06-13,6,3713.67,22282,414,5554
2014-06-14,7,2722.14,19055,464,4518
2014-06-15,15,1824.47,27367,459,4109
2014-06-16,2,2715.5,5431,444,4987
2014-06-17,2,3126.0,6252,1180,5072
2014-06-18,6,4193.0,25158,2037,6327
2014-06-19,7,4311.43,30180,443,5956
2014-06-20,6,4666.17,27997,2755,6603
2014-06-21,3,3558.67,10676,2412,4212
2014-06-22,3,1964.0,5892,658,2753
2014-06-23,6,5489.17,32935,4447,6405
2014-06-24,4,3474.25,13897,1922,5394
2014-06-25,4,4474.25,17897,2071,6605
2014-06-26,8,3507.25,28058,379,6674
2014-06-27,3,4587.0,13761,3375,5703
2014-06-28,7,3163.86,22147,1474,3628
2014-06-29,5,2523.2,12616,356,4853
2014-06-30,2,2984.5,5969,2764,3205
2014-07-01,12,4008.33,48100,1194,6701
2014-07-02,22,3095.73,68106,312,6617
2014-07-03,8,5197.75,41582,1927,6301
2014-07-04,20,2515.5,50310,382,3654
2014-07-05,21,2645.57,55557,319,4027
2014-07-06,32,2032.09,65027,313,4178
2014-07-07,27,3504.33,94617,345,6557
